Genotype,KRN,Year,Location
Z017E0001,15.8634,8,Johnson
Z017E0002,11.0841,8,Johnson
Z017E0003,11.4289,8,Johnson
Z017E0004,14.5868,8,Johnson
Z017E0005,16.3409,8,Johnson
Z017E0028,16.1073,8,Johnson
Z017E0006,14.2122,8,Johnson
Z017E0034,15.7473,8,Johnson
Z017E0007,15.2973,8,Johnson
Z017E0008,13.8522,8,Johnson
Z017E0009,14.055,8,Johnson
Z017E0010,13.9718,8,Johnson
Z017E0011,12.651,8,Johnson
Z017E0012,14.2061,8,Johnson
Z017E0013,12.9122,8,Johnson
Z017E0014,11.7631,8,Johnson
Z017E0015,15.4104,8,Johnson
Z017E0016,11.4391,8,Johnson
Z017E0017,11.1023,8,Johnson
Z017E0018,14.2288,8,Johnson
Z017E0019,15.0975,8,Johnson
Z017E0020,13.3859,8,Johnson
Z017E0021,12.6192,8,Johnson
Z017E0022,14.065,8,Johnson
Z017E0023,17.6376,8,Johnson
Z017E0024,11.8229,8,Johnson
Z017E0025,13.5751,8,Johnson
Z017E0027,13.4957,8,Johnson
Z017E0029,16.0163,8,Johnson
Z017E0030,13.0815,8,Johnson
Z017E0100,11.8448,8,Johnson
Z017E0031,12.7007,8,Johnson
Z017E0032,13.0475,8,Johnson
Z017E0033,15.5298,8,Johnson
Z017E0035,12.0184,8,Johnson
Z017E0101,16.9971,8,Johnson
Z017E0036,12.5645,8,Johnson
Z017E0037,18.9307,8,Johnson
Z017E0038,13.6876,8,Johnson
Z017E0039,13.3633,8,Johnson
Z017E0042,18.0649,8,Johnson
Z017E0043,13.5463,8,Johnson
Z017E0045,11.9685,8,Johnson
Z017E0046,15.756,8,Johnson
Z017E0047,13.1668,8,Johnson
Z017E0048,11.8453,8,Johnson
Z017E0105,14.2126,8,Johnson
Z017E0107,13.5644,8,Johnson
Z017E0109,12.0058,8,Johnson
Z017E0110,11.5858,8,Johnson
Z017E0111,14.9934,8,Johnson
Z017E0112,14.2842,8,Johnson
Z017E0113,11.9508,8,Johnson
Z017E0114,13.9883,8,Johnson
